ID,Clan Tag,Clan Name
500045881,DANDY,NOobless OBlige
500033678,DAPH,Division Des Amateurs de Paté Henaff
500039342,DB-F,la Division des Blindée Français
500174555,DBF2,la 235 ème division blindé française
500154634,DBFE,elite 2eme division blindee francaise et europeenne
500051596,DBFR1,La 1 éré DB ( FR )
500024370,DB_FR,division blinde française
500065706,DDLB,Division Des Loups Blindés
500160943,DEGS,Les Déglingués
500014383,DEIFY,A man without anger will never know glory
500197480,DEMAP,"DEMAP, Detruire, Ecraser, Malmener Avec Plaisir (ღ˘⌣˘)♥ ℒ♡ⓥℯ ㄚ♡ⓤ"
500046461,DL44,Division Leclerc 1944
500048190,DODU,les lanceurs de dodus
500168071,DOYEN,Les Vétérans(FR)
500185985,DR0PS,DR0PS
500075825,DRUGZ,Drugz
500067718,DR_FR,DRAKEN FR
500188265,DS2BF,2eme Division Semi Blindé Française
500168264,DUST-,La poussière sera votre fin
500036325,DVN-G,Division Ghost
500046503,D_WAR,Digital Warfare
500138942,E-C-M,L'EQUIPE DES BOULETS
500187028,E-G-C,Eagle Rising
500167550,EARLY,La bataille appartient à ceux qui se lèvent tôt !
500064742,ECBOB,Easy company of Band of Brothers
500073909,ECLF,Escadron des chars lourds francophone
500066033,EDFR,Equipe de France
500074575,EGAUX,liberté-fr
500139606,EHPAD,Le beau séjour
500035234,EJARC,Escadron Jeanne d'Arc
500044302,ELANS,Les élans
500205234,EMC-2,empire des macrocéphales cannabiculteurs
500070757,ENLIL,ND/NM
500058712,ETR-P,Etrebil Phantôm
500057655,ETTFR,EliTe Team FR
500156008,ETTOC,Et Toc !
500075956,EX-OD,EXOD
500253294,EX1L,EX1L
500057403,EX1T,EX1T
500039554,EX20W,Les Maquisards de L'Ouest
500154327,EXODE,Exode
500071759,F--DI,French-Délirium-In
500013338,F-49,War of 49
500055002,F-AM,Frères-d'armes
500024803,F-D-L,Fer De Lance
500075367,F-E-T,ETERNITY TANKS
500050744,F-RNG,F-RNG
500025821,F-_-D,French Délirium
500018324,FAS_X,"French Armored Squad ""PhoeniX"""
500071714,FAUX,Les Comptables
500153573,FCLB,FRclub
500246147,FCN,Farming ClaN
500167706,FCR,FC.FRANCE
